Testing overfitting the model on all the datasets
Class ratio [('BlackEagle0', 10, 0.14285714285714285), ('Fizu0', 10, 0.14285714285714285), ('IdoLivneh0', 10, 0.14285714285714285), ('cheilman0', 10, 0.14285714285714285), ('gepa0', 10, 0.14285714285714285), ('joegunrok0', 10, 0.14285714285714285), ('taichino0', 10, 0.14285714285714285)]
Train labels :(56,80.0%)
Test  labels :(14,20.0%)
Model: 1_lstm_no_dropout_500_10_labels 
		embed EmbedID ['W'] 
				 W => (108, 500)
		lstm1 
			upward Linear ['W', 'b'] 
						 W => (2000, 500)
						 b => (2000,)
			lateral Linear ['W'] 
						 W => (2000, 500)
		w Linear ['W', 'b'] 
				 W => (7, 500)
				 b => (7,)
Optimizer: ('MomentumSGD', {'lr': 0.01, 'momentum': 0.9}) 
Evaluation
epoch	training loss	test loss	test accuracy
1	1.8376778364181519	1.3109717113631112	0.9285714285714286
2	1.2359076142311096	0.7182420236723763	0.8571428571428571
3	0.8389800723109927	0.4254028967448643	1.0
4	0.5596612968615123	0.2638480578150068	1.0
5	0.29500449129513334	0.24837268250329153	1.0
6	0.2805576877934592	0.09891988549913679	1.0
7	0.17734347922461374	0.0643688610621861	1.0
8	0.06999429634639195	0.04475954600742885	1.0
9	0.03836005926132202	0.019811051232474192	1.0
10	0.03369259834289551	0.026419401168823242	1.0
11	0.07459304588181633	0.031165804181780134	1.0
12	0.08205852338245936	0.03742292949131557	1.0
13	0.02079993486404419	0.025147267750331333	1.0
14	0.00979266847882952	0.021142244338989258	1.0
15	0.006952277251652309	0.01781494276864188	1.0
16	0.005996474197932652	0.01642199925013951	1.0
17	0.005104959011077881	0.014786277498517717	1.0
18	0.004510819911956787	0.013332332883562361	1.0
19	0.0040397047996521	0.012656961168561662	1.0
20	0.003653747694832938	0.012499945504324777	1.0
21	0.0032532640865870883	0.010785988398960658	1.0
22	0.0029959934098379953	0.010852711541312081	1.0
23	0.0027651701654706684	0.009974888392857142	1.0
24	0.002576793943132673	0.009538684572492327	1.0
25	0.002396932670048305	0.009031397955758231	1.0
