Testing overfitting the model on all the datasets
Class ratio [('ana valeije0', 10, 0.5), ('fractal0', 10, 0.5)]
Train labels :(16,80.0%)
Test  labels :(4,20.0%)
Model: 1_lstm_no_dropout_500_2_labels 
		embed EmbedID ['W'] 
				 W => (108, 500)
		lstm1 
			lateral Linear ['W'] 
						 W => (2000, 500)
			upward Linear ['W', 'b'] 
						 W => (2000, 500)
						 b => (2000,)
		w Linear ['W', 'b'] 
				 W => (2, 500)
				 b => (2,)
Optimizer: ('MomentumSGD', {'lr': 0.01, 'momentum': 0.9}) 
Evaluation
epoch	training loss	test loss	test accuracy
1	0.6484210770577192	0.3977392166852951	1.0
2	0.38691192120313644	0.1669120341539383	1.0
3	0.20263664238154888	0.0663205087184906	1.0
4	0.10232966765761375	0.029787570238113403	1.0
5	0.05974207818508148	0.018657803535461426	1.0
6	0.025251604616642	0.011024653911590576	1.0
7	0.015455640852451324	0.00764542818069458	1.0
8	0.011604554951190948	0.005770504474639893	1.0
9	0.009149394929409027	0.004727065563201904	1.0
10	0.00778796523809433	0.003993809223175049	1.0
11	0.006345614790916443	0.0033372044563293457	1.0
12	0.005510121583938599	0.0029036998748779297	1.0
13	0.004773467779159546	0.0026255249977111816	1.0
14	0.004293650388717651	0.0023488402366638184	1.0
15	0.0038983672857284546	0.0020982027053833008	1.0
16	0.0034945309162139893	0.0019245147705078125	1.0
17	0.0031959563493728638	0.0017648935317993164	1.0
18	0.0029271841049194336	0.0016325712203979492	1.0
19	0.0027008652687072754	0.001523435115814209	1.0
20	0.0025471895933151245	0.001425623893737793	1.0
21	0.0023457705974578857	0.0013409256935119629	1.0
22	0.002217411994934082	0.0012752413749694824	1.0
23	0.002079218626022339	0.0011962056159973145	1.0
24	0.001960083842277527	0.0011202692985534668	1.0
25	0.0018512308597564697	0.0010655522346496582	1.0
26	0.0017542392015457153	0.0010164976119995117	1.0
27	0.0016714930534362793	0.0009706020355224609	1.0
28	0.0015884339809417725	0.000921785831451416	1.0
29	0.0015273094177246094	0.0008919239044189453	1.0
30	0.0014416426420211792	0.000854194164276123	1.0
31	0.0013804733753204346	0.0008161664009094238	1.0
32	0.001326531171798706	0.0007814168930053711	1.0
33	0.0012669861316680908	0.0007540583610534668	1.0
34	0.0012242048978805542	0.000727236270904541	1.0
35	0.001177668571472168	0.0007027983665466309	1.0
36	0.001139029860496521	0.0006844401359558105	1.0
37	0.0010965168476104736	0.0006606578826904297	1.0
38	0.0010549426078796387	0.0006379485130310059	1.0
39	0.0010218620300292969	0.0006168484687805176	1.0
40	0.0009895116090774536	0.0005972981452941895	1.0
41	0.0009606331586837769	0.0005810260772705078	1.0
42	0.0009283870458602905	0.0005643367767333984	1.0
43	0.0009007751941680908	0.0005488395690917969	1.0
44	0.0008755773305892944	0.0005333423614501953	1.0
45	0.000851556658744812	0.0005235671997070312	1.0
46	0.0008281171321868896	0.0005055069923400879	1.0
47	0.0008021742105484009	0.0004942417144775391	1.0
48	0.0007838159799575806	0.0004843473434448242	1.0
49	0.0007633715867996216	0.0004696846008300781	1.0
50	0.0007438510656356812	0.00045865774154663086	1.0
51	0.0007278472185134888	0.00045031309127807617	1.0
52	0.000710904598236084	0.00043696165084838867	1.0
53	0.0006898343563079834	0.00042891502380371094	1.0
54	0.0006736963987350464	0.00042068958282470703	1.0
55	0.0006600618362426758	0.00041103363037109375	1.0
56	0.0006434470415115356	0.00040161609649658203	1.0
57	0.0006324052810668945	0.0003941655158996582	1.0
58	0.0006161928176879883	0.0003854036331176758	1.0
59	0.0006027370691299438	0.0003784298896789551	1.0
60	0.000590592622756958	0.0003711581230163574	1.0
61	0.0005793869495391846	0.000363767147064209	1.0
62	0.0005671381950378418	0.0003571510314941406	1.0
63	0.00055675208568573	0.0003504753112792969	1.0
64	0.0005448758602142334	0.000344693660736084	1.0
65	0.0005359798669815063	0.00033968687057495117	1.0
66	0.0005252659320831299	0.0003325343132019043	1.0
67	0.0005151033401489258	0.00032770633697509766	1.0
68	0.0005065798759460449	0.00032204389572143555	1.0
69	0.000497281551361084	0.0003158450126647949	1.0
70	0.000487402081489563	0.00031071901321411133	1.0
71	0.0004786849021911621	0.0003064870834350586	1.0
72	0.0004727393388748169	0.00030159950256347656	1.0
73	0.0004643946886062622	0.00029724836349487305	1.0
74	0.0004559457302093506	0.00029224157333374023	1.0
75	0.000448569655418396	0.00028699636459350586	1.0
76	0.00044098496437072754	0.0002830028533935547	1.0
77	0.0004347562789916992	0.00027805566787719727	1.0
78	0.00042694807052612305	0.00027424097061157227	1.0
79	0.0004211515188217163	0.00027054548263549805	1.0
80	0.0004149824380874634	0.00026786327362060547	1.0
81	0.0004084557294845581	0.0002636909484863281	1.0
82	0.00040124356746673584	0.0002598762512207031	1.0
83	0.00039730966091156006	0.00025707483291625977	1.0
84	0.00039102137088775635	0.000253140926361084	1.0
85	0.0003845691680908203	0.0002499222755432129	1.0
86	0.0003793686628341675	0.00024628639221191406	1.0
87	0.0003737509250640869	0.00024330615997314453	1.0
88	0.00036856532096862793	0.0002397298812866211	1.0
89	0.00036394596099853516	0.00023686885833740234	1.0
90	0.0003582686185836792	0.00023418664932250977	1.0
91	0.0003539472818374634	0.00023102760314941406	1.0
92	0.00034987926483154297	0.0002289414405822754	1.0
93	0.0003448575735092163	0.00022518634796142578	1.0
94	0.0003410130739212036	0.00022208690643310547	1.0
95	0.00033582746982574463	0.00021952390670776367	1.0
96	0.0003321021795272827	0.00021713972091674805	1.0
97	0.00032761693000793457	0.0002148747444152832	1.0
98	0.0003233999013900757	0.00021249055862426758	1.0
99	0.00031936168670654297	0.00021058320999145508	1.0
100	0.0003158748149871826	0.00020778179168701172	1.0
101	0.0003123283386230469	0.00020563602447509766	1.0
102	0.0003082752227783203	0.00020313262939453125	1.0
103	0.00030493736267089844	0.00020205974578857422	1.0
104	0.00030146539211273193	0.0001996159553527832	1.0
105	0.0002976655960083008	0.00019752979278564453	1.0
106	0.0002947002649307251	0.00019478797912597656	1.0
107	0.00029112398624420166	0.00019311904907226562	1.0
