Testing overfitting the model on all the datasets
Class ratio [('ana valeije0', 10, 0.3333333333333333), ('kawasaki0', 10, 0.3333333333333333), ('tama eguchi0', 10, 0.3333333333333333)]
Train labels :(24,80.0%)
Test  labels :(6,20.0%)
Model: 1_lstm_no_dropout_500_3_labels 
		embed EmbedID ['W'] 
				 W => (108, 500)
		lstm1 
			lateral Linear ['W'] 
						 W => (2000, 500)
			upward Linear ['W', 'b'] 
						 W => (2000, 500)
						 b => (2000,)
		w Linear ['W', 'b'] 
				 W => (3, 500)
				 b => (3,)
Optimizer: ('MomentumSGD', {'momentum': 0.9, 'lr': 0.01}) 
Evaluation
epoch	training loss	test loss	test accuracy
1	1.0236086572209995	0.8734966317812601	0.8333333333333334
2	0.6607159152626991	0.5071618060270945	0.8333333333333334
3	0.3282661239306132	0.3304403821627299	0.8333333333333334
4	0.24336390445629755	0.27046509583791095	0.8333333333333334
5	0.14758356660604477	0.32514524459838867	0.8333333333333334
6	0.19651192178328833	0.3571244478225708	0.8333333333333334
7	0.17665550609429678	0.16171505053838095	1.0
8	0.06967678666114807	0.10788923501968384	1.0
9	0.04321570694446564	0.09605884552001953	1.0
10	0.02251477042833964	0.054422994454701744	1.0
11	0.012742827335993448	0.053629517555236816	1.0
12	0.01012734572092692	0.04818801085154215	1.0
13	0.008444060881932577	0.05037051439285278	1.0
14	0.007451683282852173	0.034906089305877686	1.0
15	0.005111535390218099	0.03697812557220459	1.0
16	0.004354228576024373	0.03685669104258219	1.0
17	0.003863851229349772	0.03549424807230631	1.0
18	0.0034677286942799888	0.035141189893086754	1.0
19	0.0031498968601226807	0.032722155253092446	1.0
20	0.0028465489546457925	0.0316962202390035	1.0
21	0.0026025474071502686	0.03077046076456706	1.0
22	0.0024195611476898193	0.030722777048746746	1.0
23	0.0022222300370534263	0.03003867467244466	1.0
24	0.0020662248134613037	0.029245773951212566	1.0
25	0.0019237697124481201	0.029298981030782063	1.0
26	0.0018155872821807861	0.02853890260060628	1.0
27	0.0017077227433522542	0.02797432740529378	1.0
28	0.001619895299275716	0.02803794542948405	1.0
29	0.0015249351660410564	0.027577519416809082	1.0
30	0.0014634430408477783	0.027844587961832683	1.0
31	0.0013731122016906738	0.02694535255432129	1.0
32	0.0013122161229451497	0.02699156602223714	1.0
33	0.0012566248575846355	0.0258025328318278	1.0
34	0.001198569933573405	0.025825222333272297	1.0
35	0.001146872838338216	0.025440216064453125	1.0
36	0.001099248727162679	0.025420268376668293	1.0
37	0.0010663270950317383	0.025374809900919598	1.0
38	0.0010194977124532063	0.024887720743815105	1.0
39	0.0009815692901611328	0.025192419687906902	1.0
40	0.0009514292081197103	0.024974544843037922	1.0
41	0.0009169578552246094	0.024219075838724773	1.0
42	0.0008846521377563477	0.02452997366587321	1.0
43	0.0008551478385925293	0.02409990628560384	1.0
44	0.0008290410041809082	0.02413630485534668	1.0
45	0.0008029143015543619	0.02418386936187744	1.0
46	0.0007795890172322592	0.023966073989868164	1.0
47	0.0007536808649698893	0.02369511127471924	1.0
48	0.0007369716962178549	0.02385079860687256	1.0
49	0.0007171034812927246	0.02316240469614665	1.0
50	0.0006966392199198405	0.02315199375152588	1.0
51	0.0006759762763977051	0.02321163813273112	1.0
52	0.0006592472394307455	0.022879481315612793	1.0
53	0.0006415645281473795	0.02280314763387044	1.0
54	0.0006260275840759277	0.02276790142059326	1.0
55	0.0006096363067626953	0.022937933603922527	1.0
56	0.0005974769592285156	0.02318231264750163	1.0
57	0.0005850990613301595	0.022504091262817383	1.0
58	0.0005707144737243652	0.022882541020711262	1.0
59	0.00055694580078125	0.023008028666178387	1.0
60	0.0005432566006978353	0.022555748621622723	1.0
61	0.00053177277247111	0.022318204243977863	1.0
62	0.0005207657814025879	0.022192080815633137	1.0
63	0.0005106329917907715	0.02202022075653076	1.0
64	0.0005011161168416342	0.02232658863067627	1.0
65	0.0004912416140238444	0.021869937578837078	1.0
66	0.0004806319872538249	0.022199710210164387	1.0
67	0.00047022104263305664	0.021973172823588055	1.0
68	0.0004646182060241699	0.021714528401692707	1.0
69	0.0004528959592183431	0.022070646286010742	1.0
70	0.0004452069600423177	0.021649281183878582	1.0
71	0.00043696165084838867	0.02181267738342285	1.0
72	0.00042905410130818683	0.021617571512858074	1.0
73	0.0004215240478515625	0.021913925806681316	1.0
74	0.0004139343897501628	0.02157549063364665	1.0
75	0.000406801700592041	0.02160497506459554	1.0
76	0.00040010611216227215	0.02142330010732015	1.0
77	0.0003935098648071289	0.021567026774088543	1.0
78	0.0003869334856669108	0.02150106430053711	1.0
79	0.00038063526153564453	0.021535277366638184	1.0
80	0.00037479400634765625	0.02125529448191325	1.0
81	0.00036847591400146484	0.021215399106343586	1.0
82	0.00036414464314778644	0.021112243334452312	1.0
83	0.0003578066825866699	0.021135767300923664	1.0
84	0.00035194555918375653	0.02127238114674886	1.0
85	0.000347137451171875	0.02110477288564046	1.0
86	0.0003420313199361165	0.021218617757161457	1.0
87	0.00033666690190633136	0.02126447359720866	1.0
88	0.00033209721247355145	0.02105410893758138	1.0
89	0.00032772620519002277	0.0208432674407959	1.0
90	0.00032327572504679364	0.020752469698588055	1.0
91	0.00031810998916625977	0.020928064982096355	1.0
92	0.00031379858652750653	0.020888010660807293	1.0
93	0.00030954678853352863	0.020808736483256023	1.0
94	0.0003059705098470052	0.020914435386657715	1.0
95	0.0003017584482828776	0.020816604296366375	1.0
96	0.0002976059913635254	0.020780007044474285	1.0
97	0.00029397010803222656	0.020673950513203938	1.0
98	0.00029033422470092773	0.020670572916666668	1.0
99	0.0002864996592203776	0.020588994026184082	1.0
100	0.00028284390767415363	0.02072465419769287	1.0
101	0.00027944644292195636	0.020795146624247234	1.0
102	0.00027632713317871094	0.02058251698811849	1.0
103	0.00027257204055786133	0.020590345064798992	1.0
104	0.00026992956797281903	0.020758907000223797	1.0
105	0.0002664923667907715	0.020516276359558105	1.0
106	0.0002631743748982747	0.020499110221862793	1.0
107	0.0002601146697998047	0.020439664522806805	1.0
108	0.0002572337786356608	0.020431041717529297	1.0
